id,title,notes,release_date_date,release_date_precision,created_at,updated_at,supertype,data_source,scene_org_id,thumbnail_url,standard_url,production_type,production_subtype,platform_name,uri
1,Rob Is Jarig,"Originally written as a 19th birthday gift for Rob of <a href=""/groups/1/"">Aardbei</a>, *Rob Is Jarig* has become a running joke in the demoscene and the only tolerated exception to the ""new releases only"" rule at demo competitions.

Frequently submitted under fake names and credited to a ""random Dutch scener"", its appearance in compos is traditionally accompanied by a small crowd of drunk sceners dancing on stage to its infectious melody.",2000-03-01,m,2010-10-05T22:14:05.551636+00:00,2018-08-08T18:58:50.527980+00:00,production,,,https://media.demozoo.org/screens/t/78/ab/8fe3.1.jpg,https://media.demozoo.org/screens/s/78/ab/8fe3.1.jpg,Demo,Demo,Windows,https://demozoo.org/productions/1/
2,State of the Art,,1992-12-29,d,2010-10-05T22:14:05.551636+00:00,2018-05-01T06:23:55.100223+00:00,production,,,,,Demo,Demo,Amiga OCS/ECS,https://demozoo.org/productions/2/
3,Haujobb BBQ 2010,,2010-06-04,d,2010-10-05T22:14:05.551636+00:00,2014-03-23T11:36:02.785831+00:00,production,,,https://media.demozoo.org/screens/t/5a/0f/08d2.3.jpg,https://media.demozoo.org/screens/s/5a/0f/08d2.3.jpg,Intro,64K Intro,Windows,https://demozoo.org/productions/3/
4,Ocean Machine,,2005-03-29,d,2010-10-05T22:14:05.551636+00:00,2017-03-24T07:48:14.515019+00:00,production,,,https://media.demozoo.org/screens/t/06/3b/5444.4.jpg,https://media.demozoo.org/screens/s/06/3b/5444.4.jpg,Demo,Demo,Atari Falcon,https://demozoo.org/productions/4/
5,Bombman,,2006-08-05,d,2010-10-05T22:14:05.551636+00:00,2017-07-16T19:12:10.503216+00:00,production,,,https://media.demozoo.org/screens/t/48/c2/0d9f.5.jpg,https://media.demozoo.org/screens/s/48/c2/0d9f.5.jpg,Demo,Demo,Windows,https://demozoo.org/productions/5/
6,The Gathering 1993 Invitation,"The intro requires almost all of chipmem on a 512k chip machine, and 300k of some other ram. It therefore needs at least 1mb total mem.

Features the logos <a href=""http://demozoo.org/graphics/134930/"">Crusaders</a> and <a href=""http://demozoo.org/graphics/134931/"">The Gathering</a>.",1993-03-05,d,2010-10-05T22:14:05.551636+00:00,2015-03-15T14:40:28.028878+00:00,production,,,https://media.demozoo.org/screens/t/c6/79/470a.6.jpg,https://media.demozoo.org/screens/s/c6/79/470a.6.jpg,Demo,Demo,Amiga OCS/ECS,https://demozoo.org/productions/6/
7,Ethos,,2010-06-19,d,2010-10-05T22:14:05.551636+00:00,2016-03-09T05:45:19.441671+00:00,production,,,https://media.demozoo.org/screens/t/3a/2f/e132.7.jpg,https://media.demozoo.org/screens/s/3a/2f/e132.7.jpg,Intro,4K Intro,Windows,https://demozoo.org/productions/7/
8,Silkcut,,2004-04-12,d,2010-10-05T22:14:05.551636+00:00,2017-03-24T07:49:30.541151+00:00,production,,,https://media.demozoo.org/screens/t/aa/0c/86e7.8.jpg,https://media.demozoo.org/screens/s/aa/0c/86e7.8.jpg,Demo,Demo,Atari Falcon,https://demozoo.org/productions/8/
9,Babenoise,"Babenoise was the first ever 4k intro to incorporate sound, even if it was just feeding the image data to the sound output.",1995-04-15,d,2010-10-05T22:14:05.551636+00:00,2014-01-03T14:53:01.250674+00:00,production,,,https://media.demozoo.org/screens/t/d5/57/f4ba.9.jpg,https://media.demozoo.org/screens/s/d5/57/f4ba.9.jpg,Intro,4K Intro,Amiga AGA,https://demozoo.org/productions/9/
10,Victrip,,2010-07-14,d,2010-10-05T22:14:05.551636+00:00,2015-06-23T06:52:26.682748+00:00,production,,,https://media.demozoo.org/screens/t/f3/63/f968.10.jpg,https://media.demozoo.org/screens/s/f3/63/f968.10.jpg,Intro,4K Intro,Commodore 64,https://demozoo.org/productions/10/
